,returns
2020-07-06,-0.003719141162704354
2020-07-13,0.004362310041750606
2020-07-20,-0.0002569837191405771
2020-07-27,0.0013930531536686572
2020-08-03,-0.002454950920376243
2020-08-10,-0.0012234806760866553
2020-08-17,-0.00048161451442010905
2020-08-24,-0.0016196233576888789
2020-08-31,0.0004093917301312188
2020-09-08,0.007247307718988041
2020-09-15,0.0010422731771445892
2020-09-22,0.0016890323726607161
2020-09-29,0.0003476167823794369
2020-10-06,-0.001837362946386548
2020-10-13,-0.003317417882673023
2020-10-20,0.0009436408211241189
2020-10-27,0.0009596878745927017
2020-11-03,-0.0036143273907252318
2020-11-10,-0.00321757540604864
2020-11-17,2.96695457491971e-05
2020-11-24,-0.0045930391947718195
2020-12-02,0.0005660496584858723
2020-12-09,-0.00248288536232737
2020-12-16,0.0021856570137522235
2020-12-23,-0.00220663311271739
2020-12-31,0.0008154992453147616
2021-01-08,-0.0004965170423445321
2021-01-15,0.0031511902989621505
2021-01-25,0.002296794280653319
2021-02-01,-0.003904226895031626
2021-02-08,-0.00047451086494597084
2021-02-16,-0.0025383982485817362
2021-02-23,0.0013029686267641762
2021-03-02,0.004214929663815217
2021-03-09,0.0032863320829923616
2021-03-16,0.005105272348522412
2021-03-23,0.004687523917010179
2021-03-30,-0.002144514160929695
2021-04-07,-0.0019671050497413103
2021-04-14,0.0020075759337854046
2021-04-21,0.003619135397101258
2021-04-28,0.0012039426747266818
2021-05-05,-0.000244813029829493
2021-05-12,-0.0013056308690415634
2021-05-19,-0.0008395708491677936
2021-05-26,0.0017789257843499526
2021-06-03,0.0037066989098859045
2021-06-10,-3.901322055964749e-05
2021-06-17,0.0031907579529312355
2021-06-24,-0.00042346499210249296
2021-07-01,0.00023228771317751882
2021-07-09,-0.0012187376373103153
2021-07-16,-0.001274274151273558
2021-07-23,0.0004628202222418617
2021-07-30,-0.0003960834676181058
2021-08-06,0.004922287090857215
2021-08-13,0.0005950427948294474
2021-08-20,-0.0005565974248577564
2021-08-27,0.003215262188705449
2021-09-03,-0.0008687273518379836
