,returns
2020-07-06,-0.0033214690980620486
2020-07-13,0.00337607887886866
2020-07-20,0.0036063257491973384
2020-07-27,0.003035089700113979
2020-08-03,-0.0009682401196398726
2020-08-10,-0.0005096074124007698
2020-08-17,0.003799214718024393
2020-08-24,-0.003318937627570996
2020-08-31,0.0024017981316180226
2020-09-08,0.00395736925550745
2020-09-15,0.001020468604252121
2020-09-22,-0.00011774247629706507
2020-09-29,0.0011646060482299677
2020-10-06,-0.004618496336352646
2020-10-13,-0.00494233806953805
2020-10-20,0.0035648414960130484
2020-10-27,-0.0014227549790801343
2020-11-03,0.004031422597663507
2020-11-10,0.0012523322545841898
2020-11-17,-0.0021370858744135853
2020-11-24,0.006140302362178741
2020-12-02,0.0010569573396604593
2020-12-09,0.00020987002286878035
2020-12-16,-0.0005397892014205041
2020-12-23,8.045462289211331e-05
2020-12-31,5.9230862578013506e-05
2021-01-08,0.009036601036910613
2021-01-15,-7.588960278852709e-05
2021-01-25,-6.332336884019168e-05
2021-02-01,0.00341107495561945
2021-02-08,0.0019485024468803072
2021-02-16,0.0014380839189397007
2021-02-23,0.0006637567191219093
2021-03-02,-0.0031794809857601455
2021-03-09,-0.003261579906301266
2021-03-16,6.502310109948229e-05
2021-03-23,-0.002431149056462938
2021-03-30,0.002416019940048494
2021-04-07,0.002142650155826823
2021-04-14,0.0008856736953361114
2021-04-21,-0.0001478427988624428
2021-04-28,-0.0008768361639580333
2021-05-05,-0.0012852626405659596
2021-05-12,-0.001054852572730317
2021-05-19,-7.757236243745964e-05
2021-05-26,0.0009363842923589413
2021-06-03,-0.002763893372688323
2021-06-10,0.00015056878242686008
2021-06-17,-0.007398935344354091
2021-06-24,0.0008019783658294861
2021-07-01,7.297971554078117e-05
2021-07-09,0.0023106934478911217
2021-07-16,-0.00013719587509597542
2021-07-23,0.0022865287567899358
2021-07-30,0.001299181109931559
2021-08-06,-0.0019132634761138843
2021-08-13,0.0009969258934697442
2021-08-20,-0.0021894613753125833
2021-08-27,-0.007913152179059907
2021-09-03,-0.0014041947698968074
